Piece Title,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Overall Quality,Soundcloud Link,TV PLACEMENT YES: TARGET
Tourmaline,"EDM, Hyperpop",Upbeat indie electronic pop tune,92,Ebm,4/4,Aeolian,1:43,"Elec. Drums, Synth, Synth Bass","indie, boys, upbeat, electronic, pop, electronica, PC, Music, videogame, uplifting, cheerful, sweet, cheerful happy, bouncy, calm, fun, happy, joyful, light, playful, positive, video game, drum machine, synthesiser, electric piano, friendly, cute, electronica","Happy, Nostalgic, ","Reality, Teen, romance",3,,0
Peaceful Curiosity,"Ambient, Videogame",Sweet ambient piece featuring angelic marimba and flute,124,Eb,4/4,Ionian,1:42,"Marimba, percussion, synthesizer, flute","water level, underwater, water, waterfall, submarine, meditation, ambient, ambiant, ambience, ambiance peace, peaceful, swimming, fish, sunset, evening, dusk, sweet, relaxing, chill, content, happy, nail salon, spa, massage, theme park, amusement park, game, video game, videogame, gamer, gaming, playstation, nintendo, xbox","calm, cheerful, chill, content, dreamy, happy, hopeful, laidback, magical, peaceful, pleasant, relaxing, uplifting","animation, broadcast/news, romance, video game",2,,0
"Beginning of Something Beautiful, The","Ambient, Videogame","Nostalgic, piano driven orchestral video game type piece",91,Bbm,3/4,Aeolian,1:42,"Orchestra, Strings, Harp, Flute, Celeste, Piano","Wholesome, sweet, reminiscent, memories, memory, nostalgic, childhood, child, video game, toys, toy store, sweet, kind, nostalgia, game, cheerful, warmth, acoustic","nostalgic, content, chill, cheerful, happy, hopeful, peaceful, pleasant, uplifting, relaxed, sweet, whimsical","animation, children, video game, romance",3,,0
Get Jacked,"Tropical House, Pop",A cinematic / orchstral hip hop track featuring a trap beat with orchestral elements.,106,Cm,4/4,Aeolian,1:41,"Elec. Drums, Synth, Synth Bass, Percussion, ","Workout, hardcore, epic, tension, tense, rocky, boxing, wrestling, hero, heroic, waiting, anticipation, fight, competition, competitive, drama, time, ticking clock, edm, football, sports, superbowl, extreme sports, skydiving, x-games","Tense, Heroic, Confident, Dark, Driving, Energetic, Exciting, Suspenseful, Tense, Aggressive","Builds, Sports, Olympics, Reveal, Teen, Action",1,,0
Good Morning Bill,"Ambient, Score","A relaxed, bright, and meditative piece evocative of a misty sunrise",57,F,4/4,Lydian,1:41,"Celeste, Flute, Ethnic Flute, Synth ","Bright, Ethereal, Meditative, Meditation, Relaxing, Waking Up, Morning, Sunrise","Relaxed, Uplifting, Chill","Documentary, Romance, Drama",4,,0
New King,"Score, Orchestral","A regal and militaristic horn driven orchestral cue, featuring snare drums like a military march",176,Cm,4/4,Aeolian,1:39,"Strings, Horn, Percussion, Orchestra, Clarinet, Oboe","Reckoning, Arrival, Military, Medieval, Epic, King, Regal, Royal, Star Wars, March, Coronation, Court, Kingdom ","Noble, Epic, Resolute, Romantic, Triumphant","Medieval, Action, Animation, Drama, Heroic, Military",2,,0
The Ripple Effect,"Score, Piano",Eerie and dramatic piano solo,75,Bm,6/8,Aeolian,1:39,Piano,"Spooky, Eerie, horror, crime, romantic, traveling, smoke, fog, overcast","moody, spooky, eerie",drama,2,,0
Firewine,Jazz,Jazzy tune with a fun piano solo,115,Em,4/4,Aeolian,1:38,"Piano, Drum set, Guitar","Jazz, Piano solo, keyboard solo, solo, lick, smooth, smooth jazz, jazzy, smoky, jazz club, club, speakeasy, romance, coffee, coffee shop, shopping, upscale, shopping mall, acoustic","laid-back, cool, glamorous, positive, relaxed, chill, ","commercial, talk show, romance, romantic comedy, drama",4,,0
Ascendancy,Hip-Hop,a victorious Horn-driven hip-hop beat with an EDM sensibility,133,G#m,4/4,Aeolian,1:38,"Trap Drums, Synth Bass, Horn Section, Synth Pluck","Fight, Sports, Boxing, Victory, Trap, Hip Hop, Fighting, MMA, Win, Winning ","Adventurous, Aggressive, Active, Competitive, Confident, Determined, Energetic","Action, Sports, Game Show",2,,0
Heavy Waves,"Score, Videogame",Heavy and trudging dungeon crawler score,62,Gm,2/4,Phrygian,1:38,"Choir, Big Drums, Percussion, Synth Bass","Dungeon, Dark, Evil, Trudging, intense, heavy, chain gang, hard work, monsters, ","Dark, Epic, Ominous, anxious","Video Game, Heroic, crime, drama, elimination",4,,0
Imagine Ecuador,"EDM, Tropical House",A Sweet and cheerful tropical house tune ready for the beach,115,G,4/4,Ionian,1:38,"Synth, Synth Bass, Elec Drums, Xylophone, Percussion, Synth Flute","tropicalhouse, deephouse, housemusic, dj, progressivehouse, tropical, edm, futurehouse, house, tropicalvibes, kygo, electronicmusic, architecture, kygomusic, reggaemusic, newmusic, hardstyle, nudisco, dj, dubstep, trance, techhouse, homedecor, dancemusic, techno, producer, interiordesign, interior, design, kygo, cheerful,, tropical, island, beach, sunset, reef, coral, ecuador, waves, ocean, sea, dolphin, scuba diving, snorkeling, submarine, kayak, kayaking, surfing, freedom, stunnas, sunglasses, shades, cabana, tiki, gecko, lizard, parrot, parrots, island, hawaii, caribbean, south pacific , temptation island, temptation, paradise, volcano, parasailing, paragliding, hang gliding, margarita","carefree, cheerful, fun, happy, joyful, carefree, adventurous","Romance, Romantic Comedy, Teen, Drama",4,,0
Cheerful Arcade,"EDM, videogame","Fast, bleepy, arcadey synth tune,",170,Db,4/4,Mixolydian,1:37,"Synth, Synth Bass, Elec. Drums","video game, manic, caffeine, speedy, zippy, hyper","cheerful, happy, hyper",video game,1,,0
Dance Fever,"Chiptune, Video Game",Videogamey chiptune tune,140,B,4/4,Lydian,1:35,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker, hyperpop, club, pop, Wiggly","Retro, Fun",Videogame,2,,0
Why Go,"Tropical House, Pop",An upbeat and cinematic tropical house tune featuring synth flute,110,Cm,4/4,Dorian,1:33,"Piano, Synth Bass, Synth, Synth Flute, Elec. Drums, Percussion","Tropical, Beach, Island, Temptation Island, Tropic, House, Upbeat, Dorian Mode, EDM, South Pacific, Kygo, Plucks, Paradise, Kava, Fiji, Vanuatu, club, relaxing, tanning, coconuts","Cheerful, Upbeat, Chill, Relaxed","Romance, Romantic Comedy, Drama, Commercial",3,,1
Enter the Toy Factory,"Score, Orchestral, Christmas",A cheerful and joyous christmas overture type piece featuring a high energy intro and ending,135,Bb,3/4,Ionian,1:33,"Orchestra, Strings, Percussion, Horn, Violins, Sleighbells, Celeste","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown","Cheerful, Happy, Festive, Joyful, Playful, Fun, Nostalgic","Holiday, Commercial, Special Occasion, Animation, Romance",5,,1
Prisoner of Love - Passion,"Score, Underscore",A very sad and slow piano solo with a synth bass tension build at the end.,65,Gm,4/4,Aeolian,1:32,"Piano, Synth Bass","Drama, sad, breakup, lonely, depressed, temptation, expectation, suspense, fight, quarrel, lovers, love, introspective","sad, depressed, lonely, introspective, melancholy","drama, romance, romantic comedy, teen",3,,0
Call me Nemo,Hip-hop,Hip-hop tune featuring plucked strings.,80,Dm,6/8,Aeolian,1:32,"Elec. Drums, Synth Bass, Strings, Plucked Strings","Hiphop, hip hop, beat, beats, rap, sale, plucked, heavy, alternative, aggressive, big, confident, cool, driving, epic, groovy, ominous, powerful, urban, strings, synthesiser, drum machine, sail","Plodding, Moody, Determined, Solid, Confident","Commercial, Drama, Crime",2,,0
Folk Melody,"Score, Orchestral","Slow, romantic wedding-type theme featuring piano and orchestra",96,G#m,4/4,Ionian,1:32,"Piano, Orchestra, Strings, Flute","Wedding, Romantic, Slow, melody, melodic, sweet, folk, folk song, pastorale, pastoral, romance, nostalgic, reminiscent, marriage, pachelbel, cartoon, sweetness, home, home sweet home, frontier, main theme, theme, melodic, melody, ","uplifting, calm, romantic, hopeful, thoughtful, sentimental","romance, romantic comedy",2,,0
A Capital Idea,"Score, Quirky","A quirky, funny, sneaky orchestral tune",107,Bm,3/4,Dorian,1:27,"Orchestra, Celeste, Clarinet, Bass Clarinet","Sneaky, Quirky, Funny, Odd, ","Funny, Silly, Sneaky",Commercial,4,,0
Subterranean Ambiance 1,"Score, Ambient","Seamless loop, magical piano and erhu ambiance.",90,Gm,4/4,Aeolian,1:27,"Piano, Celeste, Strings, Erhu","Ambient, Ambiant, Ambiance, Ambience, Erhu, Chinese, Eastern, China, loop, background, underscore, melancholy, sad, dark, gloomy, searching, lonely, idle, empty, quiet, deep, calm, contemplative, cool, melancholic, dreamy, ethereal, haunting, hypnotic, magical, mournful, mystical, peaceful, reflective, romantic, smooth, tranquil, piano, strings, violin, orchestra","Idle, Reflective, Waiting, Dreamy, Chill","animation, romance",3,,0
Brass Attack,"Hip Hop, Beat",Brass stab beat with bendy lead guitar,70,G,4/4,Ionian,1:27,"Drums, Brass, Elec. Guitar","Action, sports, trucks, extreme, extreme sports, beer, rock, muddin' commercial","Heavy, Hardcore, Motivational","Commercial, Reality",3,,0
"A Bigger, Brighter Christmas","Score, Christmas",Another cheerful and upbeat orchestral christmas tune,85,Bb,4/4,Ionian,1:26,"Orchestra, Violins, String Section, Horns, Celeste, Flute, Sleighbells","Gifts, Christmas, Candy, Christmas Tree, Xmas, Presents, Celebration,","Cheerful, Happy, Joyous, Celebratory","Reality, Drama",4,,1
Lazy Christmas,"Rock, Light",A laidback and contented christmas jam,70,Bm,4/4,Ionian,1:25,"Piano, Upright Bass, Drum Set, Celeste, Violins, Sleighbells","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown, dope, the beatles, maxwell's silver hammer, lazy, content, laidback, beatles, ","Cheerful, Happy, Chill, Lethargic, Relaxing, Whimsical","Holiday, Commercial, Special Occasion, ",2,,1
Mining Town Shuffle,"Chiptune, Video Game",Videogamey chiptune tune,112,Db,4/4,Ionian,1:25,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker, contrapuntal","Happy, Silly, cute",Videogame,2,,0
A Green Adventure,"Score, Orchestral",An adventurous march evocative of Pokemon,120,Ab,6/8,Ionian,1:24,"Orchestra, Strings, Violin, Horn, Percussion, Bass Drum","Pokemon, Adventure, march, journey, traveling, excitement, digimon, anime, animation, cartoon, beginning, pokemon battle, video game, gamer, gaming, game boy, nintendo, japanese, dorky, young, childish, andante, walking speed, acoustic, epic","adventurous, cheerful, confident, determined, epic, excited, fun, victorious","Reality TV, video game, comedy, animation, children, fantasy, heroic, teen",3,,0
Pixel Party,"Chiptune, Video Game",Videogamey chiptune tune,130,F#m,4/4,Aeolian,1:24,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Happy, Cheerful, Sparkly",Videogame,2,,0
A Big Bouncy Christmas,"Score, Orchestral, Christmas","A cheerful, upbeat, and quirky christmas piece featuring plucked strings and marimba",190,G,4/4,Ionian,1:23,"Orchestra, Violins, Marimba , Celeste, Perc, Sleighbells","christmas, xmas, christmastree, christmasdecor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Christmas, Shopping, Black Friday, Presents, Gifts, Christmas Tree, Candles, Feast, Mall, Charlie Brown","Cheerful, Happy, Cute, Festive, Joyful, Playful, Silly, Fun","Holiday, Commercial, Special Occasion, Animation, Romatic Comedy",5,,1
Alexandria's Arctic Adventure,"Score, Light, Quirky","Adventurous, light orchestral score",130,Em,Varies,Aeolian,1:23,"Orchestra, Strings, Horns, Woodwinds","Adventure, travel, journey, hiking, epic, orchestra, orchestral, acoustic, expansive, nature, natural, documentary, traditional, inspiring, elevated, transcendant, motivational, Depth, big, confident, determined, discovery, hopeful, inspirational, optimistic, pompous, romantic, video game, strings, violin, oboe, horns, flutes, double bass, cello, brass, bassoon ","Quirky, Adventurous, Fun","Reality, Teen, Drama, Commercial",4,,0
An Unresolved Conclusion,"Score, Orchestral","A Deep, lonely, spooky piece, for the end of a crime drama",115,Bbm,4/4,Aeolian,1:22,"Orchestra, Piano, Percussion","Godfather, Horror, Dark, Revelation, Evil,","Creepy, Spooky, Evil, Depressing","Horror, Crime, Drama",4,,0
Action Christmas,"Score, Orchestral, Christmas","A quirky, sneaky, spy-type christmas tune.",140,C,4/4,Aeolian,1:22,"Orchestra, Violins, String Section, Celeste, Synth Bass, Elec. Percussion, Drum Set, Elec .Drum set","christmas, xmas, christmastree, christmasdecor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Christmas, Shopping, Black Friday, Presents, Gifts, Christmas Tree, Candles, Feast, Mall, Mega Tree, Tree Lighting, Reveal, Big Moment, Spy, Mission, Mission Impossible, Sneaky, Quirky, Sneak, Agent, ","Cheerful, Festive, Joyful, Energetic, Excited, Fun, Playful, Intense, Sneaky","Special Occasion, Holiday, Comedy, Animation",3,,1
Trivium,"Score, Tension",Dark and dramatic synth tension track,115,Cm,4/4,Aeolian,1:21,"Synth, Synth Pad, Synth Bass, Synth Plucks, Strings,","Temptation Island, build, buildup, tension, tense, breakup, fight, voting, judgement, judging, dark, forensic, forensics, ambient, ambiant, ambience, ambiance csi, crime scene, action, puzzle, clue, scifi, drama, mood, texture, deep, halloween, ","Dark, tense, tension, moody, suspenseful, builds, buildup, waiting, wait, reveal, eerie, spooky, moody, anxious, brooding, dramatic, intense, conflicted, judging, ominous, spooky,","Reality, romance, teen, unscripted, crime, elimination, game show, reveal, sci-fi",4,,0
6/8 Chiptune Dungeon,Chiptune,Simple 6/8 chiptune dungeon crawler groove,95,Bm,6/8,Aeolian,1:21,Synth,"6/8, chiptune, 8bit, retro, old school, nintendo, playstation, video game, game, games, gamer, gameboy, dungeon, rpg, rts, real time strategy, strategy, youtube, instagram, tik tok, tiktok, calm, dark, fun, haunting, ominous, foreboding, suspense, tension, synthesiser, drum machine, hypnotic, high tech ","Dark, Moody, Evil",Videogame,1,,0
Herpy Derpy Halloween,"Comedy Quirky, Halloween","Brass driven, oom-pa quirky halloween track",55,Cm,4/4,Aeolian,1:20,"Tuba, Horns, Strings, Violin, Oboe","Halloween, dorky, silly, comedy / quirky, ghosts, goblins, pumpkin, omenous, joke, fun, funny","Spooky, Dorky, Halloween","Commercial, Reality",3,,0
Take What's Mine,Pop,Billie-eilish inspired...,,,4/4,Aeolian,1:19,"Elec. Drums, Synth, Synth Bass, Female Vox",,,,1,,0
A Grand Conclusion,"Score, Orchestral","A dramatic, moody, orchestral piece with two sections, an introduction section and a thematic section",115,Bbm,4/4,Aeolian,1:19,"Orchestra, clarinet","Drama, Moody, Unresolved, Melodic, Dramatic, Medieval, Game of Thrones, ","Epic, Melancholy, Unhappy, Tortured, Uncertain, Unresolved","Drama, Medieval, Action, Main Theme, Crime",4,,0
Block Buggit,"EDM, Bass Music",A speedy dubstep influenced Bass-music track featuring wobble synths,150,Cm,4/4,Aeolian,1:17,"Synth Bass, Synth, Elec. Drums","Wobble, Dubstep, Bass Music, Video game, Fox Stevenson, Commercial, Future, Futurebass, Future House","Driving, Intense, Futuristic, aggressive, energetic, excited, fun, powerful","Action, Commercial, Club, chase/fight, Sci-fi",2,,0
Music Box,Score,Simple and whimsical music box type tune,132,D,3/4,Ionian,1:17,"Harp, Bells, Flute, Bass","childish, cute, sweet, whimsical, kids, music box","cute, happy, whimsical","animation, commercial, children",3,,0
As the Forest Burns,"Score, Drama","Intense, suspenseful orchestral track with live instruments.",145,Ebm,4/4,Aeolian,1:17,"Percussion, Big Drums, Strings, Erhu","Intense, Stressful, Erhu, Chinese, Eastern, Traditional, Drama, Dramatic, Death, Torture, Suspense, Suspenseful, Big, Explosion, Fire, Dying, Chase, Chase Scene, Sequence, Crying, Screaming, angry, aggressive, cool, dark, disturbing, energetic, epic, heavy, magical, foreboding, scary, tension, video game","Intense, Stressful, Aggressive, Angry","Reality, Romance, Drama, Action",4,,0
Bees and Caffeine,EDM,"A zippy, uplifting, and happy indie-electronica tune.",86,Eb,4/4,Ionian,1:16,"Synth, Synth Bass, elec. drums","Indie, independent, chimes, chaotic, bouncy, bright, cheerful happy, fun, happy, hopeful, joyful, lively, magical, playful, positive, uplifting, video game, Electronica, Charli, British, energetic, upbeat, Cheerful, spazzy","Happy, Uplifting, Cheerful","Commercial, Romance",1,,0
Building our Village,"Score, Light","Peaceful yet resolute, determined, and active medieval theme",120,C#m,3/4,Dorian,1:15,"Harp, Hand Percussion, Cello, Recorder, Flute","medieval, history, fantasy, architecture, art, castle, larp, photography, knight, middleages, reenactment, travel, vikings, cosplay, medievaltimes, mittelalter, viking, sword, warrior, knights, europe, medievalart, larping, armor, gothic, medievalarchitecture, nature, pagan, medievalworld, travelphotography, picoftheday, medievale, castles, france, church, larper, middleage, medioevo, history, medievalhistory, italia, italy, photooftheday, handmade, medievalreenactment, archery, costume, germany, photo, landscape, instagood, illustration, historical, drawing, mittelaltermarkt, moyenage, arthistory, castle, cosplay, arte, davinci, milan, portrait, elizabethan, leonardodavinci, thcenturyfashion, queenelizabethi, marystuart, jewellery, handmade, fallforcostume, anneboylen, elizabethan, handmadejewellery, houseoftudor, tudorstyle, elizabethandress, historicaljewellery, masterjakobus, michelangelo, tudorfashion, hechoamano, madeinspain, historicaljewelry, deutscherenaissance, valdeloire, aristocrat, aristocracy, peon, lord, king, tyrant, tyranny, village, villager, bard, minstrel,","resolute, confident, peaceful, adventurous, active, noble, positive","Medieval, Romance, Animation, Heroic, Drama, Video Game",4,,0
Reckoning,Score Orchestral,A simple and percussive string section and synth build,120,Em,4/4,Aeolian,1:14,"String Section, Orchestra, Percussion","Waiting, Reckoning, Final Decision, Excitment, military, competition, anticipation, giddy, climactic, epic, triumphant, chef, cooking, game, game show, winning, anticipatory","Excited, Triumphant, Confident, Epic, noble, resolute, tense","Competition, Sports, Builds, Game Show",3,,0
An Aberration,Comedy Quirky,Dorky and quirky underscore or commercial piece,120,Cm,4/4,Aeolian,1:14,"Bass Clarinet, Strings, Violin, Percussion, Marimba","Quirky, sneaky, silly, spooky, halloween, cute, funny, depressed, drug commercial, antidepressant, drug, commercial, insurance, cleaning products, advertisement, ad, bass clarinet, costume, fun, acoustic","quirky, creepy, fun, laid-back, fun, festive, mysterious, silly","special occasion, comedy, commercial",3,,0
Bursting with Spirit,"Chiptune, Video Game",Videogamey chiptune tune,171,Fm,4/4,Aeolian,1:14,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Passionate, Intense, Fun",Videogame,2,,0
Frenzied Fury,"Chiptune, Video Game",Videogamey chiptune tune,170,Eb,4/4,Lydian,1:14,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker, sparkly, manic","Caffeinated, Excited, Fun",Videogame,2,,0
Bicycle Ride,"Videogame, Score","A sweet, uplifting harp driven loop with a changing meter",140,Db,Varies,Ionian,1:12,"Orchestra, Strings, Harp, Celeste","Video game, bike ride, bike, rpg, zelda, roleplay, innocent, sweet, sugary, kind","uplifting, cheerful, happy, content, contented","Videogame, Drama, Romance",3,,0
Wreaths and Candles,"Score, Orchestral, Christmas",A magical and uplifting christmas overture type piece,97.5,D,4/4,Ionian,1:11,"Orchestra, Strings, Percussion, Horn, Tubular Bells, Sleighbells, Celeste, Flute, Oboe, Trumpet","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown, Church, church service, sleighride, sledding, snowflakes, powder, ice skating","Cheerful, Happy, Sentimental, Hopeful, Nostalgic, Romantic","Holiday, Commercial, Special Occasion, Animation, Romance",5,,1
Deck the Afterburners,"Score, Orchestral, Christmas","A high energy, fast arrangement of Deck the Halls",145,A,4/4,Ionian,1:11,"Orchestra, Strings, Percussion, Horn, Tubular Bells, Sleighbells","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown, speedy, quick, manic, mania, light speed, rocket, fast, ","Cheerful, Happy Cute, Festive, Joyful, Energetic, Excited, Fun, Playful","Holiday, Commercial, Special Occasion, Animation, Romance",5,,1
Space Cats,"EDM, videogame",Bleepy synth tune reminiscent of Nyan Cat,88,Gb,4/4,Ionian,1:10,"Synth, elec. drums, synth bass","silly, cute, video game, arcade, gamey, videogame, nintendo, nyan cat, nyan, cat, spazzy, random, innocent, fun, adorable, wacky, weird, spastic, neon, bright, colorful, swing, fast, slow, speedy, quick, ","cute, bouncy, cheerful, epic, fun, playful, positive, whimsical, youthful","animation, commercial, video game, teen",3,,0
Zipping Down the Runway,"Chiptune, Video Game",Videogamey chiptune tune,90,C#m,4/4,Aeolian,1:09,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Cheerful, Happy",Videogame,2,,0
Magical Glade,"Score, Drama",Sparkling and magical piano-driven neo-impressionistic piece featuring erhu and cello,82,Db,4/4,Mixolydian,1:08,"Piano, Erhu, Strings, Cello, bells","Magic, pastoral, tension, tense, magic, magical, asian, asia, eastern, china, chinese, neoexpressionist, expressionism, impressionism, romance, romantic era, debussy, acoustic, instrumental, live, piano solo, solo piano, solo, pastorale, animation, cartoon","Magical, romantic, dreamy, mysterious, uplifting, warm, calm, whimsical","animation, romance, main title",5,,0
Lonesome Shore,"Score, Orchestral",A String and Wind ambient track inspired by a gray morning on the coast.,115,Bbm,4/4,Aeolian,1:06,"Strings, Oboe, Clarinet, Orchestra","Fog, Shoreline, Ships Sailing by, Shadows, Gray, Lighthouse","Contemplative, Ambient, Spooky, Lonely, Curious,","Horror, Drama, Romance",4,,0
Keynote,Corporate,Piano driven generic corporate track,108,Eb,4/4,Mixolydian,1:06,"Piano, Horn, Strings","Corporate, keynote, introduction, presentation, speech, corporation, commercial, innovative, innovation","Inspiring, Inspirational, Uplifting",Corporate,2,,0
Wildflower,"Score, light",Cutesy and innocent plucked string waltz with flute and celeste,133,D,3/4,Ionian,1:06,"Strings, flute, bells, celeste","ad, advertisement, commercial, cute, innocent, waltz, adorable, children, child, kid, fun, dance, ballet, dancing, insurance, medical, drug, medicine, medication, sweet, young, childish, dorky, derp  ","innocent, cute, bouncy, carefree, cheerful, fun, happy, peaceful, playful, whimsical, uplifting","animation, commercial, children, fantasy",3,,0
Igneous Rock,"Chiptune, Video Game",Videogamey chiptune tune,120,G,4/4,Ionian,1:06,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Happy, Fun, Busy",Videogame,2,,0
Omen,"Score, Underscore","Melancholic string underscore featuring a horn lead, with an uplifting ending",76,Dm,4/4,Aeolian,1:05,"Strings, orchestra, horn","Fanfare, melancholic, royal, royalty, king, queen, game of thrones, reality tv, medieval, castle, lord of the rings, uplifting, moody, mmo, rts, rpg, gamer, gaming, title, game show,","brooding, emotional, epic, dark, building, confident, dramatic, uplifting","animation, broadcast/news, drama, game show, medieval, video game",3,,0
Attack of the Horsemen,"Score, Orchestral, Video game",Dramatic riding type orchestral theme with horn lead,80,C#m,6/8,Aeolian,1:05,"Orchestra, Cello, Horns, Violins","Attack, Dramatic, War, Riding, Horses, LOTR, Lord of the Rings, Knights, RPG, Age of Empires","Dangerous, Menacing, Dramatic, Mean","Action, Medieval",4,,0
Tragedy in a Bright new Era,"Score, Orchestral","Lonesome, bassoon-lead, sad orchestral score",47,Bbm,3/4,Aeolian,1:05,"Strings, Bassoon, Clarinet, Oboe","Lonely, Lonesome, Depressing, Tragic, tragedy, sad, death, heartbreak","Moody, Sad, Melancholy","Romance, Drama",3,,0
Alien Farmhouse,"Chiptune, Video Game",Videogamey chiptune tune,105,D,4/4,Ionian,1:05,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Happy, Silly, cute",Videogame,2,,0
Fever Dream,"Score, Horror",Disturbing sound design journey into the depths of dark abyss,117,Db,4/4,Aeolian,1:01,"Synth, Drums, Electronics, Female Vox","horror, murder, scary, creepy, terror, demented, disturbed, ghosts","terror, fear, scared, demented, disturbed",Horror,3,,0
Fierce Efficiency,"Score, Orchestral, Trailer",An orchestral trailer-music type track with a dramatic build and an uplifting ending,190,Cm,4/4,Aeolian,0:59,"Orchestra, Synthesizer, Horn, Strings","epic, trailer, sci-fi, space ship, launch, landing, spy, mission, heist, break-in, chase, landscape, mountains ","exciting, confident, cool, inspirational, victorious, energetic, sports, news","Trailer, Builds, Action, Sci-fi, Reveal, Main Title, Heroic, Sports, News",3,,0
Christmas Candy,Christmas,A sweet and comforting tune featuring celeste and strings,103,Eb,4/4,Ionian,0:59,"Strings, Celeste, Bells","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown, candy, romance, christmas eve, Sleigh,","Cheerful, Happy, Sentimental, Nostalgic, Hopeful, Inspirational, Relaxing, Romantic, Whimsical","Holiday, Commercial, Special Occasion, Animation, Romance",3,,1
Spider Dance,Comedy Quirky,"Videogamey, sneaky and dorky theme",78,Bm,2/4,Aeolian,0:58,"Orchestra, Flute, Horn, Strings, Marimba","Silly, sneaky, cute, strawberry shortcake, cheerful, puzzle, video game, puzzle game","Sneaky, quirky, silly, comedy, fun, funny","Video game, animation",2,,0
Eastern Heartbreak,"Score, Drama","Short, Heart-wrenching and romantic piece featuring live cello, erhu, and piano.",48,Fm,4/4,Aeolian,0:53,"Strings, Cello, Piano, Erhu","Eastern, Chinese, Romance, Heartbreak, Breakup, Sadness, Heartwrenching, depressing, Japanese, Erhu, Live, Acoustic, orchestra, orchestral, score, underscore, romantic, magic, magical, calm, contemplative, down, melancholic, dramatic, elegant, ethereal, haunting, melancholy, mournful, passionate, powerful, reflective, tension, strings, cello, double bass, violin, horns, piano ","Sad, Tragic, Heartbreaking","Romance, Drama",5,,0
Pastoral Sweets,"Score, Orchestral","Sweet, cheerful, melodic score with a dramatic ending",76,A,4/4,Lydian,0:49,"Strings, Oboe, Celeste, Clarinet, Flute","Sweet, nostalgic, motion, childhood, adventure, outdoors, magic, magical, wholesome, bonding, friendship, forest, woods, cartoon, animation, excitement, ","nostalgic, content, chill, cheerful, happy, hopeful, peaceful, pleasant, uplifting, relaxed, sweet, whimsical, magical","animation, children, video game, romance",4,,0
Goofy Energy,"Score, Comedy Quirky",Quirky tune with a melancholic ending,76,A,4/4,Mixolydian,0:47,"Strings, Oboe, Plucked strings, ","Quirky, cute, wholesome, sneaky, silly, magical, magic, plucked, plucked strings, pizzicato, commercial, advertisement, ad, random, adorable, nostalgic, health, narnia, sweet, lovely","magical, emotional, hopeful, intrigued, thoughtful, whimsical, uplifting","animation, children, video game, romance",3,,0
